rdt_id,ns_lines,rdt_lines,rdt_lines_id,rdt_station_names,rdt_station_codes,cause_nl,cause_en,statistical_cause_nl,statistical_cause_en,cause_group,start_time,end_time,duration_minutes
4621,Zutphen-Deventer,"Deventer - Zutphen",86,,,overwegstoring,"level crossing failure",overwegstoring,"level crossing failure",infrastructure,"2012-10-06 17:42:02","2012-10-06 22:51:01",267
4622,'s-Hertogenbosch-Eindhoven,"'s-Hertogenbosch - Eindhoven",153,,,versperring,"an obstruction on the line",versperring,"an obstruction on the line",unknown,"2012-10-06 19:07:01","2012-10-06 20:41:01",47
4623,"Ede-Wageningen-Utrecht Centraal","Arnhem Centraal - Utrecht Centraal",133,,,"aanrijding met een voertuig","collision with a vehicle","aanrijding met een voertuig","collision with a vehicle",accidents,"2012-10-06 21:52:01","2012-10-07 03:03:01",309
4624,Deventer-Zutphen/Zwolle,"Deventer - Zutphen, Deventer - Zwolle","86,94",,,wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2012-10-06 23:49:01","2012-10-07 02:32:02",163
4625,"Utrecht Centraal-Hilversum","Almere Oostvaarders - Utrecht Centraal, Hilversum - Utrecht Centraal","40,149",,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2012-10-07 17:56:02","2012-10-07 21:36:01",204
4626,"Schiphol-Leiden Centraal","Leiden Centraal - Schiphol Airport",22,,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2012-10-07 21:36:02","2012-10-08 00:02:01",116
4627,"Utrecht Centraal-Amersfoort/Baarn/Hilversum","Almere Oostvaarders - Utrecht Centraal, Amersfoort - Utrecht Centraal, Baarn - Utrecht Centraal, Hilversum - Utrecht Centraal","40,44,134,149",,,"uitloop van werkzaamheden","over-running engineering works","uitloop van werkzaamheden","over-running engineering works","engineering work","2012-10-08 06:06:01","2012-10-08 07:38:01",82
4628,"Alphen a/d Rijn-Leiden Centraal/Utrecht Centraal","Leiden Centraal - Utrecht Centraal",147,,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2012-10-08 07:04:01","2012-10-08 08:38:01",62
4629,Eindhoven-'s-Hertogenbosch/Tilburg,"'s-Hertogenbosch - Eindhoven",153,,,wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2012-10-08 07:10:01","2012-10-08 07:36:01",16
4630,"Leiden Centraal-Alphen a/d Rijn","Leiden Centraal - Utrecht Centraal",147,,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2012-10-08 07:22:01","2012-10-08 08:08:01",41
4631,"Rotterdam C-Hoek v H Strand","Hoek van Holland Strand - Rotterdam Centraal",9,,,"de weersomstandigheden","weather circumstances","de weersomstandigheden","weather circumstances",weather,"2012-10-08 08:40:01","2012-10-08 11:06:01",117
4632,"Alphen a/d Rijn-Utrecht Centraal","Leiden Centraal - Utrecht Centraal",147,,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2012-10-08 08:50:01","2012-10-08 11:10:01",93
